time,kind,memo,말소리,배경 소음,한숨
2026-06-22T07:14:37.788Z,감지,"딴소리",100,53,36
2026-06-22T07:16:30.126Z,감지,"딴소리",100,88,40
2026-06-22T07:16:36.196Z,감지,"딴소리",55,97,45
2026-06-22T07:16:39.231Z,감지,"딴소리",100,48,47
2026-06-22T07:16:59.468Z,감지,"딴소리",100,90,35
2026-06-22T07:18:56.865Z,감지,"딴소리",98,97,42
2026-06-22T07:20:44.135Z,감지,"진짜 한숨",62,100,35
2026-06-22T07:22:16.233Z,감지,"",3,99,75
2026-06-22T07:22:24.326Z,감지,"",98,83,71
2026-06-22T07:22:32.417Z,감지,"",100,44,54
2026-06-26T01:27:05.223Z,감지,"진짜 한숨",98,98,64
2026-06-26T01:38:51.958Z,감지,"",39,99,60
2026-06-26T01:38:58.029Z,감지,"",48,98,43
2026-06-26T01:40:14.692Z,감지,"딴소리",2,98,41
2026-06-26T01:42:33.290Z,감지,"딴소리",100,17,37
2026-06-26T01:57:21.387Z,감지,"",0,97,40
2026-06-26T01:58:46.400Z,감지,"",100,62,37
2026-06-26T01:58:56.520Z,감지,"",100,52,38
2026-06-26T01:59:00.060Z,감지,"",98,63,36
2026-06-26T01:59:31.685Z,감지,"",13,97,36
2026-06-26T01:59:52.683Z,감지,"",45,98,38
2026-06-26T02:00:23.045Z,감지,"",100,21,41
2026-06-26T02:00:55.680Z,감지,"",100,65,39
2026-06-26T02:01:21.012Z,감지,"",60,98,38
2026-06-26T02:04:35.082Z,감지,"",99,46,37
2026-06-26T02:05:12.527Z,감지,"",100,16,35
2026-06-26T02:49:09.639Z,감지,"진짜 한숨",37,98,60
2026-06-26T04:05:51.462Z,감지,"딴소리",2,63,36
2026-06-26T04:14:22.454Z,감지,"딴소리",5,52,44
2026-06-26T05:17:28.473Z,감지,"진짜 한숨",4,51,45